analysis,BMD mg/cm2,BMDL mg/cm2,BMDH mg/cm2,g_id,id,author,link,particle,type,prod,animal,sex_x,weight,admin,hours,days,weeks,number,h_between,h_after,dose_per_kg,pp_diam,ssa,air_gmd,air_diam,agg_diam,agg_diam_pta,Dep_fraction_area_after_time_mg/cm2/mg/m3,Dep_fraction_area_end_exposure_mg/cm2/mg/m3,dep_area_end_exposure_mg/cm2,dep_area_at_measurement_mg/cm2,variable,value,pp_density,SA_BMD_cm2/cm2,air_density,Lung_Model,sex_y,Alv_retention_h_mg,Alv_retention_5_mg,Alv_retention_y_mg,Alv_retention_w_mg,Alv_retention_lifetime_mg,Alv_surface_cm2,Dep_area_h_mg/cm2,Dep_area_5d_mg/cm2,Dep_area_y_mg/cm2,Dep_area_w_mg/cm2,Dep_area_lifetime_mg/cm2,BMD_air_exp_human_mg_m3,Unnamed: 51,BMD_air_five_d_human_mg_m3,BMD_air_y_human_mg_m3,BMD_air_life_human_mg_m3,SA_BMD_cm2/cm2.1,animal2
In_vivo_17_dep_dose_neutro.txt,4.54E-06,0,1.17E-05,17,66,Warheit 2007,https://academic.oup.com/toxsci/article/95/1/270/1690460,Crystalline SiO2,,,CrlCDSDIGS BR rat,M,0.275,intratracheal instillation,,,0,1,0,24,0,12,90.5,,,,,0.000160154,0.000160154,0,0,neutro,721825.6543,2.65,0.0041087,,Yeh/Schum Symmetric,man,,2.992,101.6,550.1,2566,792000,,3.78E-06,0.000128283,0.000694571,0.003239899,,0,1.201235294,0.035374961,0.001400661,,rat
In_vivo_18_dep_dose_neutro.txt,5.91E-06,5.85E-06,5.97E-06,18,69,Warheit 2007,https://academic.oup.com/toxsci/article/95/1/270/1690460,Crystalline SiO2,,,CrlCDSDIGS BR rat,M,0.275,intratracheal instillation,,,0,1,0,24,0,300,4.2,,,,,0.000160154,0.000160154,0,0,neutro,721825.6543,2.65,0.00024822,,Yeh/Schum Symmetric,man,,1.738,59,319.6,1491,792000,,2.19E-06,7.45E-05,0.000403535,0.001882576,,0,2.694075949,0.079361085,0.003140378,,rat
In_vivo_1169_air_conc_after_five_d_human_mg_m3_neutro.txt,3.56E-09,0,8.91E-09,1169,,Sayez 2007,,Crystalline SiO2,,,Crl:CD rat,M,,intratracheal instillation,,,0,1,0,24,,452,5.009183503,,,534.1,,,,,,neutro,,2.65,1.78E-07,2.280395341,,man,,,,,,,,2.25E-06,,,,,,0.001581,,,1.78E-07,rat
In_vivo_2169_air_conc_after_five_d_human_mg_m3_neutro_percent.txt,3.17E-09,5.47E-10,1.50E-08,2169,,Sayez 2007,,Crystalline SiO2,,,Crl:CD rat,M,,intratracheal instillation,,,0,1,0,24,,452,5.009183503,,,534.1,,,,,,neutro_percent,,2.65,1.59E-07,2.280395341,,man,,,,,,,,2.25E-06,,,,,,0.00141,,,1.59E-07,rat
In_vivo_1169_air_conc_after_five_d_human_mg_m3_neutro.txt,3.56E-09,0,8.91E-09,1169,,Sayez 2007,,Crystalline SiO2,,,Crl:CD rat,M,,intratracheal instillation,,,0,1,0,24,,452,5.009183503,,,534.1,,,,,,neutro,,2.65,1.78E-07,2.280395341,,man,,,,,,,,2.25E-06,,,,,,0.001581,,,1.78E-07,rat
In_vivo_2169_air_conc_after_five_d_human_mg_m3_neutro_percent.txt,3.17E-09,5.47E-10,1.50E-08,2169,,Sayez 2007,,Crystalline SiO2,,,Crl:CD rat,M,,intratracheal instillation,,,0,1,0,24,,452,5.009183503,,,534.1,,,,,,neutro_percent,,2.65,1.59E-07,2.280395341,,man,,,,,,,,2.25E-06,,,,,,0.00141,,,1.59E-07,rat
In_vivo_132_dep_dose_neutro_percent.txt,0.000448,0.000362,0.000551,132,126,Rahman 2017,https://academic.oup.com/mutage/article/32/1/59/3865758?login=true#supplementary-data,TiO2,anatase,tiona christal global,C57BL/6 mouse,F,0.018,intratracheal instillation,,,0,1,0,24,,300,10,,,130,,0.00204499,0.00204499,0.000331288,0.000331288,neutro_percent,13.7,4.23,0.0448,8.978431623,Yeh/Schum Symmetric,man,,1.938,65.8,356.2,1662,792000,,2.45E-06,8.31E-05,0.000449747,0.002098485,,0,183.0835913,5.392340426,0.213487365,,mouse
In_vivo_133_dep_dose_neutro_percent.txt,9.46E-05,5.11E-05,0.00014,133,129,Rahman 2017,https://academic.oup.com/mutage/article/32/1/59/3865758?login=true#supplementary-data,TiO2,82 anatase 20 rutile,P25 Evonik,C57BL/6 mouse,F,0.018,intratracheal instillation,,,0,1,0,24,,21,54,,,242,,0.00204499,0.00204499,0.000110429,0.000110429,neutro_percent,21.4,4.23,0.051084,0.468709659,Yeh/Schum Symmetric,man,,4.883,165.8,897.8,4188,792000,,6.17E-06,0.000209343,0.001133586,0.005287879,,0,15.34368216,0.451889023,0.017889971,,mouse
In_vivo_30_dep_dose_neutro.txt,0.0001164,0.000116,0.000117,30,116,Rahman 2017,https://academic.oup.com/mutage/article/32/1/59/3865758?login=true#supplementary-data,TiO2,anatase,Sachtleben Chemie GmbH,C57BL/6 mouse,F,0.018,intratracheal instillation,,,0,1,0,24,,8,230,,,148,,0.00204499,0.00204499,0,0,neutro,1200,4.23,0.26772,0.306115846,Yeh/Schum Symmetric,man,,1.364,46.3,250.8,1170,792000,,1.72E-06,5.85E-05,0.000316667,0.001477273,,0,67.58709677,1.99111879,0.078793846,,mouse
In_vivo_31_dep_dose_neutro.txt,3.03E-05,2.21E-06,5.92E-05,31,120,Rahman 2017,https://academic.oup.com/mutage/article/32/1/59/3865758?login=true#supplementary-data,TiO2,anatase,PC105 christal global,C57BL/6 mouse,F,0.018,intratracheal instillation,,,0,1,0,24,,20,90,,,242,,0.00204499,0.00204499,0,0,neutro,900,4.23,0.02727,0.448573418,Yeh/Schum Symmetric,man,,4.771,162,877.1,4092,792000,,6.02E-06,0.000204545,0.001107449,0.005166667,,0,5.028228883,0.148084444,0.005862581,,mouse
In_vivo_32_dep_dose_neutro.txt,9.89E-05,9.87E-05,9.99E-05,32,127,Rahman 2017,https://academic.oup.com/mutage/article/32/1/59/3865758?login=true#supplementary-data,TiO2,anatase,tiona christal global,C57BL/6 mouse,F,0.018,intratracheal instillation,,,0,1,0,24,,300,10,,,130,,0.00204499,0.00204499,0.000993865,0.000993865,neutro,55100,4.23,0.00989,8.978431623,Yeh/Schum Symmetric,man,,1.938,65.8,356.2,1662,792000,,2.45E-06,8.31E-05,0.000449747,0.002098485,,0,40.4050774,1.190046201,0.047114946,,mouse
In_vivo_33_dep_dose_neutro.txt,9.80E-07,0,1.80E-06,33,128,Rahman 2017,https://academic.oup.com/mutage/article/32/1/59/3865758?login=true#supplementary-data,TiO2,81 anatase 20 rutile,P25 Evonik,C57BL/6 mouse,F,0.018,intratracheal instillation,,,0,1,0,24,,21,54,,,242,,0.00204499,0.00204499,0,0,neutro,300,4.23,0.0005292,0.468709659,Yeh/Schum Symmetric,man,,4.883,165.8,897.8,4188,792000,,6.17E-06,0.000209343,0.001133586,0.005287879,,0,0.158967684,0.00468178,0.000185348,,mouse
In_vivo_1005_air_conc_after_five_d_human_mg_m3_neutro.txt,8.32E-09,7.40E-09,9.19E-09,1005,,Gustafsson 2011,,TiO2,80 anatase 20 rutile,,Dark Agouti rats,M,,intratracheal instillation,,,0,1,0,24,,21,67.5447484,,,200,,,,,,neutro,,4.23,5.62E-06,0.556430256,,man,,,,,,,,6.17E-06,,,,,,0.001349,,,5.62E-06,rat
In_vivo_1025_air_conc_after_five_d_human_mg_m3_neutro.txt,5.65E-06,5.62E-06,5.68E-06,1025,,Han 2012,,TiO2,anatase,,Fischer 344 rat,M,,intratracheal instillation,,,0,1,0,24,,10,158.7301587,,,704,,,,,,neutro,,3.78,0.008968254,0.082163022,,man,,,,,,,,2.81E-06,,,,,,2.009,,,0.008960778,rat
In_vivo_1026_air_conc_after_five_d_human_mg_m3_neutro.txt,1.51E-05,1.51E-05,1.52E-05,1026,,Han 2012,,TiO2,anatase,,Fischer 344 rat,M,,intratracheal instillation,,,0,1,0,24,,16,99.20634921,,,705,,,,,,neutro,,3.78,0.014980159,0.125264953,,man,,,,,,,,5.19E-06,,,,,,2.916,,,0.015013929,rat
In_vivo_1027_air_conc_after_five_d_human_mg_m3_neutro.txt,1.00E-05,9.95E-06,1.01E-05,1027,,Han 2012,,TiO2,anatase,,Fischer 344 rat,M,,intratracheal instillation,,,0,1,0,24,,30,52.91005291,,,541,,,,,,neutro,,3.78,0.005291005,0.279913207,,man,,,,,,,,6.68E-06,,,,,,1.504,,,0.005315725,rat
In_vivo_1028_air_conc_after_five_d_human_mg_m3_neutro.txt,5.64E-06,5.62E-06,5.70E-06,1028,,Han 2012,,TiO2,anatase,,Fischer 344 rat,M,,intratracheal instillation,,,0,1,0,24,,50,31.74603175,,,537,,,,,,neutro,,3.78,0.001790476,0.446259985,,man,,,,,,,,6.01E-06,,,,,,0.9382,,,0.001790026,rat
In_vivo_1029_air_conc_after_five_d_human_mg_m3_neutro.txt,3.27E-06,9.43E-07,3.62E-06,1029,,Landsiedel 2014,,TiO2,rutile,,Wistar rat,M,,inhalation,6,5,1,0,0,3,,24,59.10165485,,800,,,,,,,neutro,,4.23,0.001932624,1,,man,,,,,,,,6.46E-06,,,,,,0.5067,,,0.001934564,rat
In_vivo_1032_air_conc_after_five_d_human_mg_m3_neutro.txt,3.67E-06,3.66E-06,3.70E-06,1032,,Ma-Hock 2009,,TiO2,14% rutile 86% anatase,,Wistar rat,M,,inhalation,6,5,1,0,0,0,,25.1,56.51154248,,900,,,,,,,neutro,,4.23,0.002073974,1,,man,,,,,,,,6.54E-06,,,,,,0.5616,,,0.002075592,rat
In_vivo_1033_air_conc_after_five_d_human_mg_m3_neutro.txt,2.11E-06,2.11E-06,2.16E-06,1033,,Ma-Hock 2009,,TiO2,14% rutile 86% anatase,,Wistar rat,M,,inhalation,6,5,1,0,0,72,,25.1,56.51154248,,900,,,,,,,neutro,,4.23,0.001192394,1,,man,,,,,,,,6.54E-06,,,,,,0.3231,,,0.001194131,rat
In_vivo_1034_air_conc_after_five_d_human_mg_m3_neutro.txt,2.61E-05,1.87E-05,3.57E-05,1034,,Ma-Hock 2009,,TiO2,14% rutile 86% anatase,,Wistar rat,M,,inhalation,6,5,1,0,0,384,,25.1,56.51154248,,900,,,,,,,neutro,,4.23,0.014749513,1,,man,,,,,,,,6.54E-06,,,,,,3.993,,,0.014757549,rat
In_vivo_1070_air_conc_after_five_d_human_mg_m3_neutro.txt,4.29E-07,4.23E-07,4.36E-07,1070,,Renwick 2004,,TiO2,,,Wistar rat,M,,intratracheal instillation,,,0,1,0,24,,29,48.91171436,,,,,,,,,neutro,,4.23,0.000209831,,,man,,,,,,,,6.67E-06,,,,,,0.06435,,,0.000209936,rat
In_vivo_1079_air_conc_after_five_d_human_mg_m3_neutro.txt,1.35E-06,6.71E-07,2.50E-06,1079,,Noel 2012,,TiO2,anatase,,Fischer 344 rat,M,,inhalation,6,1,1,0,0,16,,5,317.4603175,,31,,,,,,,neutro,,3.78,0.004285714,1,,man,,,,,,,,2.88E-07,,,,,,4.699,,,0.004296229,rat
In_vivo_1080_air_conc_after_five_d_human_mg_m3_neutro.txt,5.02E-07,4.06E-07,6.11E-07,1080,,Noel 2012,,TiO2,anatase,,Fischer 344 rat,M,,inhalation,6,1,1,0,0,16,,5,317.4603175,,185,,,,,,,neutro,,3.78,0.001593651,1,,man,,,,,,,,2.88E-07,,,,,,1.743,,,0.0015936,rat
